code,year,anu_ret_std
600237,2007,0.5781000923202507
600237,2008,0.6368595533773297
600237,2009,0.5651766258313294
600237,2010,0.4982489268537645
600237,2011,0.3062042332109221
600237,2012,0.3624710582626342
600237,2013,0.32531280735578916
600237,2014,0.46658071217278635
600237,2015,0.847538068153708
600237,2016,0.48027247736482825
600237,2017,0.3005497694703809
600238,2002,
600238,2003,0.2860813506666547
600238,2004,0.33016726827114146
600238,2005,0.34599052432558125
600238,2006,0.592740826756489
600238,2007,0.8058979232535515
600238,2008,0.750076950877641
600238,2009,0.5540638276289358
600238,2010,0.5832784500052252
600238,2011,0.49537711725317324
600238,2012,0.4399652767154503
600238,2013,0.34489515633787676
600238,2014,0.32839196618003397
600238,2015,1.1263376958343636
600238,2016,0.26096695653070845
600238,2017,0.20312009140157064
600239,2002,
600239,2003,0.31492036146276225
600239,2004,0.5449277231159629
600239,2005,0.44002544597610477
600239,2006,0.5428431597097836
600239,2007,1.28018769406934
600239,2008,0.8631554951253061
600239,2009,0.6752595748715303
600239,2010,0.4144226869982707
600239,2011,0.45988058573408414
600239,2012,0.43294960652382236
600239,2013,0.3994588681088656
600239,2014,0.31701655289701186
600239,2015,0.8340161777414603
600239,2016,0.4003516875080663
600239,2017,0.9846264514910124
600240,2002,
600240,2003,0.3260825820294565
600240,2004,0.3175282576006302
600240,2005,0.3863038517758489
600240,2006,0.7128703013603057
600240,2007,0.6759298334186677
600240,2008,0.7514274642952712
600240,2009,0.6880101547812385
600240,2010,0.41809174155481327
600240,2011,0.5004808021349568
600240,2012,0.766774338698762
600240,2013,0.39952332853085676
600240,2014,0.46501607379793103
600240,2015,0.8008046096794611
600240,2016,0.4013351860819644
600240,2017,0.2673602132552155
600241,2002,
600241,2003,0.27178388252925473
600241,2004,0.27950840625962287
600241,2005,0.3598302914241809
600241,2006,0.6319187624791023
600241,2007,0.6485461677244072
600241,2008,0.7220178893126445
600241,2009,0.5281775926182598
600241,2010,0.505042924169064
600241,2011,0.4045506356661804
600241,2012,0.6172872476908579
600241,2013,0.35986607712363045
600241,2014,0.2967872210689446
600241,2015,0.8161809399133151
600241,2016,0.46562888087146614
600241,2017,0.49049899212450876
600242,2002,
600242,2003,0.35771072991415853
600242,2004,0.44890211918763945
600242,2005,0.47346335384191623
600242,2006,0.4582874457931502
600242,2007,0.6934587775310338
600242,2009,0.6922871747498279
600242,2010,0.3724112512811467
600242,2011,0.5943953001673173
600242,2012,0.4423285831108276
600242,2013,0.4886798999867044
600242,2014,0.4300463018706226
600242,2015,0.9046314511927152
600242,2016,0.5271950974120859
600242,2017,0.4738776199275318
600243,2002,
600243,2003,0.32175754213969576
600243,2004,0.3449744140944858
600243,2005,0.35724443495654074
600243,2006,0.6065322978490558
600243,2007,0.679658099586849
600243,2008,0.7034190985943108
600243,2009,0.48474282786013895
600243,2010,0.47470057505836005
600243,2011,0.5558185862369914
600243,2012,0.4221694127994677
600243,2013,0.3769729091566922
600243,2014,0.3472489045587781
600243,2015,0.8287221907550515
600243,2016,0.4882909745768276
600243,2017,0.3220436048371203
600246,2002,
600246,2003,0.34986456587496423
600246,2004,0.5157979735276425
600246,2005,0.6721857753475403
600246,2006,0.9241222237701286
600246,2007,0.8131543155970958
600246,2008,0.7005291144217157
600246,2009,0.8211534456759051
600246,2010,0.38943440720080374
600246,2011,0.3337768906827853
600246,2012,0.32942370253224107
600246,2013,0.24128505471866077
600246,2014,0.38752077913793787
600246,2015,0.687218474950939
600246,2016,0.4532914814026727
600246,2017,0.29855224240754535
600247,2002,
600247,2003,0.3612416452641416
600247,2004,0.6983014569303264
600247,2005,0.554216300814785
600247,2006,0.5045557884215961
600247,2007,0.6158203685954172
600247,2008,0.633348896502491
600247,2009,0.6242282368933031
600247,2010,0.32950858352421475
600247,2011,0.6090356708043311
600247,2012,0.42234574427423505
600247,2013,0.7276715338287743
600247,2014,0.6038653845505496
600247,2015,0.9153124462569295
600247,2016,0.5202574222265881
600247,2017,0.41243159830452597
600248,2002,
600248,2003,0.27707899111755085
600248,2004,0.4327266991627122
600248,2005,0.6817562784687863
600248,2006,0.5366053160540117
600248,2007,0.7919988783110699
600248,2008,2.9682409708099944
600248,2009,0.6721968941640064
600248,2010,0.525785315479871
600248,2011,0.3830800087998939
600248,2012,0.3630321986053199
600248,2013,0.3250078117417495
600248,2014,0.20714585781683448
600248,2015,0.7942955068446976
600248,2016,0.5215965519194802
600248,2017,0.3034403607364866
600249,2004,0.2495186830693214
600249,2005,0.5764360375409691
600249,2006,0.4872994013572262
600249,2007,1.103897383357187
600249,2008,0.8769644144883328
600249,2009,0.5413630618858772
600249,2010,0.3498069111140672
600249,2011,0.31590062731020796
600249,2012,0.3013923485449448
600249,2013,0.3818850494104746
600249,2014,0.27876399974054905
600249,2015,0.7419389294751176
600249,2016,0.40119089394597784
600249,2017,0.5885848129817448
600250,2002,
600250,2003,0.4198935084519857
600250,2004,0.46645537422212074
600250,2005,0.5121172797720066
600250,2006,0.6191136857488977
600250,2007,0.7445539701030786
600250,2008,0.7177730949673401
600250,2009,0.5767575679357622
600250,2010,0.4685498498606417
600250,2011,0.405094517871343
600250,2012,0.3605591378519635
600250,2013,0.4740341628153619
600250,2014,0.3431622124213957
600250,2015,1.0659725364024657
600250,2016,0.49372105310045783
600250,2017,0.3574692749117981
600251,2003,0.3360487840148258
600251,2004,0.6343274351575271
600251,2005,0.510036137561872
600251,2006,0.5476928143725933
600251,2007,0.8222820954981963
600251,2008,0.9604652730725285
600251,2009,0.637992842601095
600251,2010,0.5864274207964439
600251,2011,0.47280262883889895
600251,2012,0.3753212067409001
600251,2013,0.45130072975533053
600251,2014,0.2692194687126181
600251,2015,0.8466151531121762
600251,2016,0.3354574572859507
600251,2017,0.31673463972057914
600252,2002,
600252,2003,0.4162825409569771
600252,2004,0.4088057302426453
600252,2005,0.4563032447629038
600252,2006,0.6464781610363047
